customer_id,First_Time,Recent_Time,Number_of_Orders,Number_of_Orders_in_last_7_days,Number_of_Orders_in_last_4_weeks,Amount,Amount_in_last_7_days,Amount_in_last_4_weeks,Avg_DistanceFromResturant,Avg_DeliveryTime
1269647,6/29/2015 10:57,12/10/2015 2:18,212,6,43,138808,4291,26853,1.6,51
167631,7/4/2015 15:39,12/15/2015 14:42,211,8,19,56404,1925,4177,2.2,42
301524,6/26/2015 9:56,12/9/2015 20:45,189,9,33,36020,1772,6404,2.5,57
1268254,7/1/2015 1:51,12/14/2015 1:43,184,6,37,32489,975,7110,3.1,55
357161,7/11/2015 18:34,12/19/2015 23:26,182,4,23,85150,1738,9958,2.4,36
1294857,6/15/2015 9:00,11/25/2015 14:01,171,8,27,55597,1710,8436,1.6,31
387095,7/27/2015 12:18,12/27/2015 5:50,168,13,43,19055,1231,4014,2.1,48
785080,7/24/2015 22:27,12/25/2015 9:23,160,0,25,39588,0,6705,1.8,16
1288527,7/13/2015 7:02,12/25/2015 20:47,160,7,40,4343,215,1060,2.1,49
540819,8/9/2015 9:17,12/5/2015 8:15,20,1,6,8916,589,2800,3.7,55
